"Supplementary Table 3. IER, proportion and size of the general adult population, and proportion of the deaths that are expected to exceed K-fold of US average risk within each of the 477 US cities",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1765000,42.2633180015,-89.0625958362,IL,Rockford,148287,"1.46 (1.35, 1.57)","21.2% (20.8%, 23.0%)","   31,470 (30,909, 34,172)","14.5% (14.1%, 15.7%)","   21,498 (20,899, 23,340)","7.0% (6.6%, 7.6%)"," 10,370 (9,849, 11,204)","3.4% (3.0%, 3.7%)","  4,962 (4,384, 5,433)","87.4% (85.9%, 88.3%)","80.3% (78.0%, 81.2%)","64.2% (60.5%, 65.1%)","46.6% (40.8%, 47.9%)"
1768003,42.0305488755,-88.0838663543,IL,Schaumburg,73118,"0.94 (0.89, 1.01)","16.2% (16.1%, 17.9%)","   11,826 (11,793, 13,064)","10.1% (10.0%, 11.1%)","    7,414 (7,312, 8,148)","4.3% (4.1%, 4.7%)","  3,176 (3,003, 3,461)","1.6% (1.3%, 1.8%)","  1,183 (949, 1,328)","78.4% (76.4%, 79.9%)","68.5% (65.6%, 70.0%)","49.2% (44.5%, 50.5%)","28.7% (22.4%, 30.4%)"
1772000,39.7716473322,-89.6540780049,IL,Springfield,114663,"0.87 (0.81, 0.96)","16.0% (15.4%, 17.6%)","   18,297 (17,668, 20,158)","10.3% (9.8%, 11.4%)","   11,805 (11,270, 13,032)","4.0% (3.6%, 4.5%)","  4,564 (4,092, 5,119)","1.3% (1.0%, 1.6%)","  1,514 (1,159, 1,784)","78.6% (76.3%, 80.3%)","68.6% (65.5%, 70.4%)","46.0% (40.8%, 48.3%)","24.9% (19.1%, 27.5%)"
1779293,42.3702955582,-87.8712595095,IL,Waukegan,88805,"0.68 (0.62, 0.74)","12.7% (12.2%, 14.3%)","   11,298 (10,834, 12,732)","7.6% (7.1%, 8.6%)","    6,774 (6,319, 7,645)","2.7% (2.3%, 3.0%)","  2,390 (2,062, 2,680)","0.9% (0.6%, 1.0%)","    822 (574, 907)","75.3% (71.6%, 76.7%)","63.7% (58.8%, 65.0%)","41.3% (34.4%, 42.1%)","23.3% (15.5%, 23.8%)"
1805860,39.1637458221,-86.5257124351,IN,Bloomington,85551,"0.44 (0.39, 0.49)","8.2% (7.5%, 8.7%)","    6,971 (6,405, 7,409)","5.4% (5.0%, 5.7%)","    4,614 (4,231, 4,913)","2.1% (1.7%, 2.4%)","  1,770 (1,457, 2,022)","0.6% (0.3%, 0.7%)","    484 (287, 641)","76.1% (71.9%, 77.9%)","66.5% (61.9%, 68.7%)","42.6% (35.3%, 46.9%)","19.1% (11.6%, 23.9%)"
1810342,39.9658404613,-86.1461278461,IN,Carmel,93148,"0.46 (0.41, 0.51)","9.3% (8.8%, 10.3%)","    8,637 (8,193, 9,601)","5.8% (5.3%, 6.5%)","    5,406 (4,934, 6,091)","1.4% (0.9%, 1.7%)","  1,253 (823, 1,610)","0.2% (0.1%, 0.3%)","    175 (66, 276)","64.6% (60.7%, 67.1%)","52.8% (47.4%, 55.7%)","22.3% (14.6%, 26.8%)","5.5% (2.1%, 8.2%)"
1822000,37.9867158026,-87.538270731,IN,Evansville,117940,"1.19 (1.04, 1.31)","19.0% (18.0%, 20.3%)","   22,353 (21,216, 23,951)","13.1% (12.2%, 14.0%)","   15,421 (14,376, 16,563)","6.1% (5.3%, 6.6%)","  7,169 (6,308, 7,803)","2.5% (1.9%, 2.9%)","  2,976 (2,224, 3,401)","85.5% (82.5%, 86.8%)","77.9% (73.9%, 79.4%)","59.3% (52.8%, 61.7%)","38.4% (29.3%, 41.8%)"
1823278,39.9587635263,-85.969310702,IN,Fishers,90907,"0.28 (0.26, 0.32)","4.6% (4.3%, 5.4%)","    4,182 (3,933, 4,922)","2.6% (2.4%, 3.0%)","    2,369 (2,154, 2,759)","0.5% (0.4%, 0.7%)","    500 (319, 665)","0.1% (0.0%, 0.1%)","     65 (23, 108)","47.7% (43.7%, 51.0%)","36.9% (32.1%, 39.9%)","14.5% (9.0%, 17.8%)","3.3% (1.2%, 5.1%)"
1825000,41.0884920417,-85.1435898792,IN,Fort Wayne,254796,"0.77 (0.71, 0.83)","13.8% (13.1%, 15.2%)","   35,099 (33,488, 38,620)","8.7% (8.2%, 9.6%)","   22,234 (20,914, 24,358)","3.4% (3.0%, 3.7%)","  8,647 (7,619, 9,454)","1.2% (0.9%, 1.3%)","  2,978 (2,243, 3,333)","77.1% (74.2%, 78.4%)","67.0% (63.3%, 68.3%)","45.4% (39.8%, 46.8%)","25.4% (18.9%, 26.8%)"
1831000,41.6171442828,-87.4909551115,IN,Hammond,76627,"1.34 (1.15, 1.48)","20.2% (19.8%, 22.1%)","   15,485 (15,195, 16,935)","13.4% (12.6%, 14.9%)","   10,241 (9,639, 11,401)","5.8% (5.2%, 6.5%)","  4,448 (3,960, 4,992)","2.8% (2.2%, 3.2%)","  2,147 (1,722, 2,419)","87.1% (84.0%, 88.5%)","79.2% (74.1%, 81.0%)","61.7% (54.0%, 63.7%)","46.0% (35.7%, 48.0%)"
1836003,39.7771221075,-86.145782152,IN,Indianapolis,857386,"1.13 (1.07, 1.2)","18.4% (18.1%, 19.9%)","  157,794 (155,556, 170,566)","12.0% (11.7%, 13.0%)","  103,193 (100,463, 111,497)","5.1% (4.9%, 5.5%)"," 44,109 (41,902, 47,153)","2.3% (2.0%, 2.4%)"," 19,533 (17,458, 20,755)","84.8% (83.4%, 85.4%)","76.1% (74.0%, 76.7%)","57.3% (53.8%, 57.7%)","39.5% (34.8%, 40.0%)"
1840788,40.3994285285,-86.8617007404,IN,Lafayette,71225,"0.86 (0.74, 0.97)","15.5% (14.4%, 17.0%)","   11,007 (10,270, 12,117)","10.2% (9.3%, 11.3%)","    7,255 (6,634, 8,056)","4.1% (3.4%, 4.8%)","  2,944 (2,411, 3,382)","1.4% (0.8%, 1.8%)","    995 (602, 1,244)","80.5% (76.2%, 82.8%)","71.0% (65.5%, 73.7%)","48.8% (39.8%, 52.5%)","26.6% (16.3%, 31.1%)"
1851876,40.1987098324,-85.3942940148,IN,Muncie,68450,"0.8 (0.67, 0.9)","13.7% (12.3%, 14.8%)","    9,356 (8,421, 10,098)","9.1% (7.9%, 9.9%)","    6,210 (5,435, 6,757)","3.9% (3.1%, 4.3%)","  2,663 (2,149, 2,965)","1.5% (0.9%, 1.8%)","  1,021 (631, 1,237)","82.5% (77.5%, 84.3%)","73.7% (67.4%, 76.0%)","53.3% (44.1%, 56.8%)","32.4% (21.0%, 37.1%)"
1871000,41.6769914549,-86.2690372417,IN,South Bend,96143,"1.32 (1.13, 1.46)","18.0% (17.2%, 19.6%)","   17,288 (16,496, 18,842)","12.2% (11.4%, 13.4%)","   11,750 (10,972, 12,915)","5.9% (5.4%, 6.5%)","  5,721 (5,206, 6,278)","3.0% (2.5%, 3.4%)","  2,902 (2,391, 3,263)","87.4% (84.3%, 88.6%)","80.6% (76.4%, 82.2%)","65.7% (59.6%, 67.8%)","50.0% (41.2%, 52.9%)"
1912000,41.966729258,-91.6781679349,IA,Cedar Rapids,132240,"0.6 (0.55, 0.65)","11.6% (11.0%, 12.6%)","   15,372 (14,532, 16,685)","7.7% (7.2%, 8.4%)","   10,206 (9,528, 11,141)","2.5% (2.2%, 2.9%)","  3,365 (2,852, 3,845)","0.6% (0.4%, 0.7%)","    788 (570, 932)","74.3% (72.1%, 75.4%)","64.2% (61.3%, 65.5%)","36.8% (32.2%, 39.0%)","14.6% (10.9%, 16.0%)"
1919000,41.5557926876,-90.6051730163,IA,Davenport,102314,"0.72 (0.66, 0.78)","12.6% (12.0%, 13.9%)","   12,920 (12,262, 14,191)","8.4% (7.8%, 9.1%)","    8,560 (8,029, 9,307)","3.3% (2.9%, 3.6%)","  3,387 (2,945, 3,713)","1.0% (0.8%, 1.1%)","  1,051 (790, 1,165)","76.2% (73.8%, 77.0%)","67.1% (64.1%, 67.7%)","44.8% (39.7%, 45.6%)","22.7% (17.5%, 23.6%)"
1921000,41.5741349525,-93.6165066086,IA,Des Moines,217508,"0.58 (0.53, 0.63)","10.9% (10.3%, 12.2%)","   23,776 (22,342, 26,538)","6.8% (6.3%, 7.5%)","   14,758 (13,649, 16,340)","2.3% (2.0%, 2.6%)","  5,085 (4,273, 5,622)","0.7% (0.5%, 0.7%)","  1,420 (1,006, 1,557)","72.1% (69.1%, 73.1%)","61.1% (57.4%, 61.8%)","37.3% (32.0%, 37.8%)","17.4% (12.6%, 17.7%)"
1938595,41.6558950332,-91.5308854927,IA,Iowa City,75788,"0.43 (0.4, 0.47)","7.8% (7.4%, 8.4%)","    5,880 (5,593, 6,377)","5.1% (4.9%, 5.5%)","    3,861 (3,674, 4,182)","1.9% (1.7%, 2.1%)","  1,416 (1,273, 1,604)","0.5% (0.4%, 0.6%)","    374 (291, 437)","73.1% (70.9%, 74.0%)","63.5% (61.1%, 64.5%)","39.5% (35.8%, 41.4%)","17.3% (13.6%, 19.0%)"
1973335,42.4963149039,-96.3913834837,IA,Sioux City,84034,"0.92 (0.85, 0.97)","15.4% (14.8%, 16.7%)","   12,918 (12,438, 14,050)","10.0% (9.6%, 10.8%)","    8,445 (8,057, 9,108)","4.4% (4.0%, 4.7%)","  3,673 (3,377, 3,951)","1.7% (1.4%, 1.8%)","  1,416 (1,162, 1,517)","80.8% (78.7%, 81.4%)","71.9% (69.2%, 72.2%)","52.4% (48.1%, 52.7%)","31.8% (26.2%, 32.0%)"
1982425,42.4919736932,-92.3521759342,IA,Waterloo,67588,"0.85 (0.79, 0.92)","15.5% (14.9%, 17.0%)","   10,457 (10,054, 11,457)","10.1% (9.6%, 11.0%)","    6,832 (6,503, 7,459)","4.0% (3.5%, 4.4%)","  2,670 (2,400, 2,952)","1.3% (1.0%, 1.5%)","    876 (700, 992)","78.9% (76.9%, 80.1%)","69.2% (66.5%, 70.4%)","46.5% (42.2%, 48.0%)","24.9% (20.1%, 26.4%)"
2036000,39.1234621409,-94.7441921112,KS,Kansas City,155031,"1.28 (1.19, 1.33)","20.0% (19.8%, 21.7%)","   30,938 (30,754, 33,694)","13.0% (12.7%, 14.2%)","   20,160 (19,710, 21,981)","5.5% (5.3%, 5.9%)","  8,606 (8,160, 9,204)","2.6% (2.4%, 2.8%)","  4,071 (3,638, 4,272)","86.1% (84.6%, 86.5%)","77.7% (75.1%, 77.9%)","59.7% (55.5%, 59.4%)","43.7% (38.0%, 43.2%)"
2038900,38.9599302924,-95.2628259088,KS,Lawrence,95000,"0.45 (0.42, 0.49)","8.1% (7.7%, 8.9%)","    7,737 (7,322, 8,439)","5.1% (4.9%, 5.6%)","    4,881 (4,614, 5,293)","1.8% (1.6%, 2.1%)","  1,751 (1,560, 1,969)","0.5% (0.4%, 0.6%)","    472 (355, 552)","71.2% (68.7%, 72.4%)","60.9% (58.0%, 62.0%)","37.6% (33.6%, 39.4%)","16.8% (12.7%, 18.4%)"
2052575,38.884693021,-94.8192070197,KS,Olathe,137500,"0.35 (0.33, 0.39)","6.4% (6.0%, 7.2%)","    8,740 (8,304, 9,942)","3.7% (3.4%, 4.2%)","    5,088 (4,734, 5,749)","1.0% (0.8%, 1.1%)","  1,314 (1,060, 1,504)","0.2% (0.1%, 0.2%)","    237 (148, 271)","57.8% (55.0%, 59.3%)","46.2% (42.8%, 47.2%)","21.9% (17.5%, 22.7%)","6.9% (4.3%, 7.2%)"
2053775,38.8872922575,-94.6872267067,KS,Overland Park,191263,"0.51 (0.47, 0.56)","9.5% (9.1%, 10.4%)","   18,132 (17,391, 19,985)","6.2% (5.9%, 6.9%)","   11,920 (11,230, 13,095)","2.0% (1.6%, 2.2%)","  3,771 (3,138, 4,280)","0.4% (0.3%, 0.5%)","    803 (547, 917)","68.6% (66.2%, 69.6%)","58.8% (55.7%, 59.7%)","32.4% (27.3%, 33.6%)","11.8% (8.2%, 12.4%)"
2071000,39.0359549911,-95.6954155341,KS,Topeka,126588,"0.92 (0.85, 1)","16.5% (15.9%, 18.0%)","   20,896 (20,091, 22,759)","11.0% (10.5%, 12.0%)","   13,946 (13,260, 15,156)","4.5% (4.0%, 4.9%)","  5,667 (5,099, 6,219)","1.5% (1.2%, 1.7%)","  1,922 (1,541, 2,151)","81.0% (78.9%, 81.9%)","71.8% (69.1%, 72.7%)","49.4% (45.0%, 50.6%)","27.2% (22.0%, 28.4%)"
2079000,37.690561478,-97.3429366807,KS,Wichita,390599,"0.77 (0.72, 0.84)","14.2% (13.6%, 15.8%)","   55,403 (53,241, 61,526)","9.0% (8.5%, 9.9%)","   35,152 (33,338, 38,772)","3.4% (3.0%, 3.7%)"," 13,338 (11,778, 14,624)","1.1% (0.9%, 1.2%)","  4,323 (3,339, 4,716)","76.8% (74.4%, 77.8%)","66.5% (63.4%, 67.2%)","43.9% (39.1%, 44.4%)","23.2% (18.2%, 23.7%)"
2146027,38.0423254022,-84.4587259608,KY,Lexington,321959,"0.77 (0.71, 0.82)","13.7% (13.1%, 15.0%)","   44,181 (42,291, 48,448)","8.7% (8.2%, 9.5%)","   28,055 (26,535, 30,563)","3.5% (3.1%, 3.8%)"," 11,186 (10,082, 12,068)","1.2% (1.0%, 1.3%)","  3,976 (3,232, 4,269)","78.4% (76.3%, 79.1%)","68.4% (65.7%, 68.8%)","47.2% (43.2%, 47.4%)","26.9% (22.3%, 27.2%)"
2148006,38.1777689918,-85.6664099974,KY,Louisville,621337,"1.04 (0.96, 1.11)","17.7% (17.1%, 19.4%)","  110,144 (106,128, 120,637)","11.5% (10.9%, 12.5%)","   71,167 (67,634, 77,899)","4.8% (4.3%, 5.1%)"," 29,519 (26,890, 31,905)","1.9% (1.6%, 2.1%)"," 11,902 (10,036, 12,735)","82.4% (80.6%, 83.2%)","73.1% (70.6%, 73.7%)","53.0% (49.0%, 53.2%)","33.8% (28.8%, 34.1%)"
2205000,30.4510891679,-91.1263551997,LA,Baton Rouge,225370,"1.46 (1.35, 1.53)","21.3% (21.0%, 22.8%)","   48,096 (47,325, 51,295)","14.7% (14.3%, 15.8%)","   33,213 (32,186, 35,536)","6.6% (6.2%, 7.0%)"," 14,942 (14,080, 15,885)","3.2% (2.9%, 3.4%)","  7,226 (6,550, 7,654)","89.5% (88.2%, 89.7%)","82.5% (80.4%, 82.7%)","65.2% (61.8%, 65.3%)","48.8% (44.2%, 48.9%)"
2239475,30.0106937201,-90.2550320135,LA,Kenner,67464,"1.25 (1.19, 1.33)","22.3% (22.4%, 24.5%)","   15,070 (15,135, 16,517)","14.2% (14.1%, 15.7%)","    9,577 (9,515, 10,600)","5.5% (5.2%, 6.0%)","  3,702 (3,532, 4,051)","2.3% (2.0%, 2.4%)","  1,526 (1,342, 1,639)","84.4% (83.2%, 85.5%)","74.3% (72.1%, 75.5%)","52.7% (48.8%, 53.3%)","34.7% (29.5%, 34.8%)"
2240735,30.2120582815,-92.0317532321,LA,Lafayette,126847,"1.01 (0.94, 1.08)","16.7% (16.3%, 18.3%)","   21,208 (20,719, 23,230)","10.7% (10.4%, 11.8%)","   13,632 (13,166, 14,924)","4.5% (4.2%, 4.9%)","  5,751 (5,372, 6,238)","1.9% (1.7%, 2.1%)","  2,439 (2,110, 2,660)","82.5% (80.8%, 83.4%)","73.3% (70.9%, 74.3%)","54.2% (50.5%, 55.0%)","36.1% (31.1%, 37.1%)"
2241155,30.2030679966,-93.2148796496,LA,Lake Charles,77125,"1.64 (1.5, 1.75)","24.6% (24.0%, 26.4%)","   19,004 (18,548, 20,358)","17.1% (16.4%, 18.4%)","   13,176 (12,671, 14,208)","7.9% (7.4%, 8.5%)","  6,070 (5,682, 6,556)","3.7% (3.2%, 4.0%)","  2,823 (2,458, 3,090)","89.1% (87.7%, 89.8%)","82.0% (79.7%, 82.8%)","64.4% (60.2%, 65.4%)","46.3% (40.5%, 47.6%)"
2255000,30.0687009935,-89.9316317895,LA,New Orleans,393292,"1.6 (1.47, 1.67)","24.0% (23.7%, 25.8%)","   94,508 (93,090, 101,448)","16.4% (15.9%, 17.6%)","   64,424 (62,466, 69,407)","7.2% (6.7%, 7.7%)"," 28,204 (26,492, 30,188)","3.4% (3.1%, 3.6%)"," 13,496 (12,138, 14,332)","89.4% (88.1%, 89.7%)","81.9% (79.8%, 82.3%)","64.0% (60.4%, 64.1%)","47.7% (42.8%, 47.5%)"
2270000,32.4671618864,-93.7962236108,LA,Shreveport,191715,"1.93 (1.77, 2)","26.2% (25.7%, 27.7%)","   50,286 (49,315, 53,141)","18.6% (18.0%, 19.8%)","   35,747 (34,536, 37,879)","8.8% (8.3%, 9.3%)"," 16,956 (15,940, 17,919)","4.5% (4.0%, 4.7%)","  8,527 (7,689, 8,947)","91.6% (90.4%, 91.7%)","85.4% (83.5%, 85.7%)","69.5% (66.2%, 69.7%)","53.6% (48.8%, 53.7%)"
2360545,43.6779836271,-70.2752544531,ME,Portland,66878,"0.56 (0.51, 0.6)","10.4% (9.7%, 11.3%)","    6,938 (6,496, 7,532)","6.8% (6.3%, 7.3%)","    4,551 (4,224, 4,915)","2.4% (2.1%, 2.7%)","  1,615 (1,374, 1,805)","0.6% (0.4%, 0.7%)","    412 (297, 471)","73.4% (70.9%, 74.2%)","63.6% (60.6%, 64.4%)","38.6% (33.8%, 40.1%)","16.5% (12.4%, 17.5%)"
2404000,39.3084523991,-76.6160492311,MD,Baltimore,611648,"1.63 (1.5, 1.7)","23.8% (23.4%, 25.6%)","  145,775 (143,427, 156,578)","16.4% (15.8%, 17.7%)","  100,199 (96,762, 108,049)","7.3% (6.9%, 7.8%)"," 44,719 (41,990, 47,881)","3.6% (3.2%, 3.8%)"," 21,808 (19,684, 23,186)","89.8% (88.5%, 90.1%)","82.7% (80.6%, 82.9%)","65.4% (61.8%, 65.2%)","49.3% (44.4%, 48.9%)"
2507000,42.3155796777,-71.0916505804,MA,Boston,683015,"0.83 (0.8, 0.9)","14.3% (14.2%, 15.7%)","   97,664 (96,779, 107,475)","9.2% (9.0%, 10.1%)","   62,873 (61,440, 69,037)","3.8% (3.6%, 4.2%)"," 26,123 (24,889, 28,589)","1.5% (1.4%, 1.7%)"," 10,442 (9,311, 11,517)","81.5% (80.1%, 82.3%)","72.1% (70.2%, 72.8%)","52.0% (49.0%, 52.8%)","32.7% (28.7%, 33.5%)"
2509000,42.082071372,-71.0241656338,MA,Brockton,95664,"0.85 (0.78, 0.92)","14.1% (13.5%, 15.7%)","   13,458 (12,900, 15,034)","8.8% (8.3%, 9.8%)","    8,395 (7,926, 9,376)","3.6% (3.3%, 4.0%)","  3,407 (3,124, 3,780)","1.5% (1.2%, 1.7%)","  1,431 (1,177, 1,584)","79.3% (76.7%, 80.5%)","69.8% (66.1%, 70.9%)","50.9% (45.6%, 51.7%)","34.0% (27.2%, 34.5%)"
2511000,42.3758188051,-71.1183992378,MA,Cambridge,113631,"0.46 (0.43, 0.51)","8.5% (8.2%, 9.3%)","    9,638 (9,314, 10,528)","5.8% (5.6%, 6.4%)","    6,624 (6,383, 7,268)","2.1% (1.9%, 2.5%)","  2,424 (2,154, 2,816)","0.5% (0.4%, 0.7%)","    603 (441, 748)","75.8% (73.9%, 77.1%)","66.8% (64.6%, 68.5%)","41.0% (36.6%, 44.1%)","17.1% (12.7%, 19.4%)"
2523000,41.7139907598,-71.0996396919,MA,Fall River,89415,"0.97 (0.87, 1.02)","16.9% (16.1%, 18.2%)","   15,084 (14,395, 16,277)","10.9% (10.3%, 11.8%)","    9,784 (9,183, 10,509)","4.6% (4.0%, 4.9%)","  4,095 (3,590, 4,347)","1.7% (1.2%, 1.8%)","  1,476 (1,100, 1,578)","79.7% (76.9%, 80.5%)","70.3% (66.6%, 70.9%)","49.7% (43.9%, 50.1%)","28.5% (21.5%, 28.9%)"
2537000,42.6388727331,-71.321714396,MA,Lowell,111343,"0.6 (0.55, 0.64)","10.3% (9.8%, 11.5%)","   11,445 (10,862, 12,766)","6.4% (6.0%, 7.0%)","    7,099 (6,677, 7,828)","2.5% (2.1%, 2.7%)","  2,747 (2,381, 2,984)","0.8% (0.6%, 0.9%)","    907 (646, 980)","72.2% (68.9%, 73.0%)","62.1% (58.2%, 62.6%)","41.6% (35.6%, 41.9%)","22.3% (16.0%, 22.5%)"
2537490,42.4783322881,-70.9662372538,MA,Lynn,94064,"0.95 (0.88, 1.03)","15.5% (15.2%, 17.2%)","   14,554 (14,295, 16,204)","10.0% (9.7%, 11.1%)","    9,388 (9,093, 10,432)","4.3% (4.0%, 4.8%)","  4,079 (3,811, 4,507)","1.8% (1.5%, 2.0%)","  1,712 (1,422, 1,890)","81.3% (79.1%, 82.3%)","72.4% (69.3%, 73.2%)","54.0% (48.9%, 54.7%)","35.5% (28.3%, 35.9%)"
2545000,41.6712667258,-70.9441204537,MA,New Bedford,95110,"1.08 (0.97, 1.13)","17.4% (16.8%, 18.7%)","   16,522 (15,951, 17,791)","11.7% (11.1%, 12.5%)","   11,111 (10,575, 11,917)","5.3% (4.8%, 5.6%)","  5,004 (4,541, 5,329)","2.2% (1.7%, 2.3%)","  2,063 (1,651, 2,194)","83.7% (81.3%, 84.2%)","75.6% (72.3%, 76.0%)","56.8% (51.5%, 57.1%)","36.6% (29.3%, 36.7%)"
2545560,42.3316567616,-71.2084466944,MA,Newton,88989,"0.61 (0.57, 0.67)","11.2% (10.8%, 12.2%)","    9,974 (9,634, 10,879)","7.7% (7.3%, 8.4%)","    6,836 (6,515, 7,447)","2.7% (2.3%, 3.0%)","  2,377 (2,008, 2,712)","0.6% (0.4%, 0.7%)","    535 (357, 646)","72.5% (70.1%, 73.7%)","63.5% (60.6%, 64.8%)","37.3% (31.7%, 39.6%)","14.2% (9.6%, 16.1%)"
2555745,42.2492981918,-71.0218764062,MA,Quincy,94165,"0.57 (0.52, 0.61)","10.1% (9.6%, 11.0%)","    9,544 (9,010, 10,373)","6.7% (6.3%, 7.2%)","    6,330 (5,895, 6,810)","2.5% (2.0%, 2.7%)","  2,316 (1,881, 2,500)","0.6% (0.4%, 0.7%)","    606 (389, 648)","71.6% (68.4%, 72.2%)","62.4% (58.5%, 62.7%)","38.7% (32.0%, 39.1%)","16.9% (11.0%, 17.1%)"
2562535,42.3905738858,-71.1017450879,MA,Somerville,81361,"0.33 (0.31, 0.36)","5.6% (5.3%, 6.3%)","    4,569 (4,325, 5,149)","3.4% (3.3%, 3.8%)","    2,799 (2,649, 3,108)","1.2% (1.0%, 1.3%)","    955 (824, 1,094)","0.3% (0.2%, 0.4%)","    238 (164, 286)","63.6% (60.6%, 65.1%)","53.4% (50.2%, 54.7%)","31.7% (27.0%, 33.5%)","13.2% (9.2%, 14.7%)"
2567000,42.1154977999,-72.5395254143,MA,Springfield,154763,"1.38 (1.28, 1.44)","20.9% (20.9%, 22.7%)","   32,354 (32,285, 35,145)","13.9% (13.6%, 15.1%)","   21,535 (21,090, 23,427)","6.1% (5.9%, 6.6%)","  9,499 (9,048, 10,214)","2.9% (2.6%, 3.1%)","  4,570 (4,096, 4,856)","87.5% (85.9%, 87.9%)","79.6% (76.9%, 79.9%)","62.2% (57.7%, 61.9%)","45.9% (39.9%, 45.5%)"
2582000,42.2705425446,-71.8079404584,MA,Worcester,185685,"0.76 (0.71, 0.83)","12.7% (12.3%, 14.1%)","   23,575 (22,751, 26,138)","8.2% (7.8%, 9.0%)","   15,212 (14,553, 16,749)","3.5% (3.2%, 3.8%)","  6,484 (5,954, 7,099)","1.3% (1.1%, 1.5%)","  2,475 (2,022, 2,709)","78.5% (76.2%, 79.3%)","69.4% (66.5%, 70.1%)","50.1% (45.6%, 50.8%)","30.4% (24.6%, 30.8%)"
2603000,42.2756833567,-83.7311374448,MI,Ann Arbor,121461,"0.41 (0.35, 0.51)","8.0% (7.2%, 9.4%)","    9,690 (8,713, 11,367)","5.1% (4.5%, 6.1%)","    6,191 (5,516, 7,398)","1.6% (1.1%, 2.3%)","  1,994 (1,325, 2,802)","0.4% (0.1%, 0.7%)","    440 (154, 864)","71.2% (65.3%, 76.5%)","60.4% (53.7%, 66.7%)","33.8% (22.8%, 43.5%)","12.6% (4.6%, 22.0%)"
2621000,42.3126884626,-83.2129368006,MI,Dearborn,94497,"0.94 (0.68, 1.24)","14.5% (11.9%, 17.2%)","   13,746 (11,270, 16,262)","9.8% (8.0%, 11.8%)","    9,271 (7,583, 11,180)","4.7% (3.4%, 5.9%)","  4,464 (3,254, 5,534)","2.0% (0.9%, 2.9%)","  1,909 (830, 2,752)","83.3% (75.0%, 87.5%)","75.6% (66.2%, 80.9%)","58.6% (44.1%, 65.7%)","38.3% (18.1%, 48.9%)"
2622000,42.3847015631,-83.1053178776,MI,Detroit,673103,"2.5 (2.09, 2.56)","29.9% (29.3%, 31.1%)","  201,199 (197,135, 209,249)","21.9% (20.8%, 22.9%)","  147,612 (140,320, 154,072)","10.7% (9.6%, 11.2%)"," 72,009 (64,620, 75,195)","5.7% (4.9%, 5.9%)"," 38,504 (32,912, 40,031)","93.9% (92.1%, 93.9%)","88.9% (85.6%, 89.1%)","74.8% (68.5%, 74.9%)","60.8% (52.5%, 60.7%)"
2627440,42.4859956992,-83.3771159714,MI,Farmington Hills,81048,"0.7 (0.55, 0.99)","12.9% (11.2%, 16.9%)","   10,464 (9,058, 13,664)","8.2% (6.9%, 11.0%)","    6,640 (5,570, 8,944)","2.9% (1.8%, 4.5%)","  2,369 (1,422, 3,637)","0.8% (0.3%, 1.7%)","    678 (214, 1,380)","73.1% (65.2%, 80.9%)","62.7% (53.2%, 71.7%)","39.1% (24.2%, 51.1%)","18.7% (6.3%, 31.5%)"
2634000,42.9614815414,-85.6556858473,MI,Grand Rapids,198811,"0.75 (0.62, 0.9)","12.2% (11.1%, 13.9%)","   24,296 (21,977, 27,699)","8.1% (7.2%, 9.3%)","   16,134 (14,385, 18,475)","3.6% (2.9%, 4.2%)","  7,081 (5,701, 8,432)","1.4% (0.8%, 1.8%)","  2,766 (1,627, 3,668)","80.5% (74.8%, 83.5%)","72.1% (65.2%, 75.6%)","53.0% (42.7%, 57.9%)","32.8% (19.9%, 39.3%)"
2642160,42.2748756474,-85.588188576,MI,Kalamazoo,75802,"0.74 (0.56, 1.03)","12.3% (10.5%, 14.9%)","    9,334 (7,950, 11,274)","8.2% (6.7%, 10.3%)","    6,192 (5,068, 7,833)","3.5% (2.5%, 4.8%)","  2,642 (1,881, 3,652)","1.4% (0.7%, 2.3%)","  1,056 (497, 1,725)","82.5% (74.8%, 87.7%)","73.8% (64.2%, 80.9%)","53.9% (40.4%, 64.4%)","34.1% (17.5%, 47.4%)"
2646000,42.7090711751,-84.5584470022,MI,Lansing,115451,"0.89 (0.71, 1.14)","15.8% (14.2%, 18.6%)","   18,275 (16,423, 21,509)","9.9% (8.4%, 12.3%)","   11,467 (9,693, 14,255)","3.8% (2.9%, 5.1%)","  4,434 (3,341, 5,866)","1.5% (0.8%, 2.2%)","  1,781 (951, 2,569)","81.1% (74.3%, 85.8%)","71.0% (61.7%, 77.3%)","49.9% (37.3%, 57.7%)","32.0% (17.5%, 40.4%)"
2649000,42.3971592737,-83.3733073683,MI,Livonia,94108,"1.15 (0.92, 1.51)","20.8% (18.5%, 24.8%)","   19,545 (17,440, 23,325)","13.8% (12.1%, 16.9%)","   12,978 (11,423, 15,884)","5.8% (4.2%, 7.7%)","  5,491 (3,990, 7,282)","1.9% (0.8%, 3.2%)","  1,805 (746, 3,059)","81.7% (75.5%, 87.0%)","72.3% (64.9%, 79.0%)","50.3% (37.2%, 60.0%)","26.4% (11.5%, 39.3%)"
